title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
Come To Me Baby,223000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Crying Game,219000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Fake G'S (절대자),260000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Flying Love,236000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Goodbye Party,,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
Last,266000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Road Fighter,200000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Run Away,235000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
SAY,261000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
그 날까지,227000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
그대가 잠든 사이에(While You Were Sleeping),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
기도(Prayer),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
내맘을 알고있니(Do You Know My Heart),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
네겐 보일수 없었던 세상(The World Where I Couldn't Show You),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
단념(Letting Go),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
무모한 사랑,226000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
변신 (Renewal),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
비상(Fly Up),,SECHSKIES,3.5 – Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
여우사냥,191000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
커플,250000.0,SECHSKIES,3.5 - Special Album,,,KR,1998-10-31,DSP Media,SECHSKIES,1998,False,False
테크노폴리스,216000.0,SECHSKIES,Road Fighter,,,KR,1998-07-15,DSP Media,SECHSKIES,1998,False,False
Rock&Roll Summer!!,260000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
감사,293000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
누에,222000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
눈물,202000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
늘 내가 원하는 것은,264000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
비상구,210000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
으쌰! 으쌰!,212000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
천일유혼,232000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
키가 자랐어요,231000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
해결사,219000.0,SHINHWA,신화,,,KR,1998-05-05,SM Entertainment,SHINHWA,1998,False,True
Someday,216000.0,UNIQ,Mr Music Hits 9. 1998,,,SE,1998,Yuehua Entertainment,UNIQ,1998,False,False
Last Night,272000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
내 남자,208000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
내 눈에 슬픈 비,221000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
너도 나처럼,238000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
널 보내고,200000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
소중한 사랑,227413.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
위험한 사랑 (Dangerous Love),211000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
천사,267000.0,박지윤,Blue Angel,,,KR,1998-11,JYP Entertainment,박지윤,1998,False,True
Blind Love,216000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
I'm right now,236173.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
Kiss me? Alright!,227600.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
Maybe,254000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
Oh! Boy,239626.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
Still in Love,260893.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
The Beginning,261120.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
Tonight,220000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
Waiting for you,251506.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
White,235000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
그래서 우린,246293.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
기도,265000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
너의 기억,219000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
로즈 (ROSE),233000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
서랍속의 동화,255746.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
숨겨진 그림자,244000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
아주 잠시만,237000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
유리,232906.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
인디안 인형처럼,210000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
